stage,class_id,class_name,area,ap,ap50,ap75,ar_max_det
full,1,people,small,0.1352363584534218,0.3561090452651612,0.06874475399150452,0.26169293889008854
full,1,people,medium,0.23042350892656785,0.5108457270509837,0.16660622859420315,0.4321063394683026
full,1,people,large,0.2027704672280585,0.42814082381258894,0.26315278586682195,0.6
full,2,bicycle,all,0.06332701516015266,0.1419338581513155,0.042475087973876564,0.2112665112665113
full,2,bicycle,small,0.03599534485609147,0.09743114811076055,0.016007625192656146,0.16657169990503323
full,2,bicycle,medium,0.17587949873585323,0.3403109742624313,0.15853186206504086,0.41515151515151516
full,2,bicycle,large,0.01610617958347559,0.04207920792079208,0.011608057357459884,0.2
full,3,car,all,0.5654845534378948,0.8193253795398767,0.6313118639175791,0.6405005688282138
full,3,car,small,0.3873002355424771,0.6883662031893797,0.394618944976305,0.49244573082489146
full,3,car,medium,0.70482648180817,0.9222424022578328,0.8276414776448421,0.7709176470588235
full,3,car,large,0.8411326940879872,0.9619400491286816,0.9320727984659257,0.8866495507060334
full,4,van,all,0.32863771153731086,0.46486388629890507,0.38351072034471023,0.5294683544303797
full,4,van,small,0.15178177741752968,0.26724280054756927,0.15777938632192678,0.36051227321238
full,4,van,medium,0.4720987781999448,0.6329654556548928,0.5706357064287143,0.6677139761646804
full,4,van,large,0.5713267910673024,0.6626062005393116,0.6372281116064759,0.7973913043478261
full,5,truck,all,0.2518006599412863,0.38863279589273453,0.27744055996245837,0.4117333333333333
full,5,truck,small,0.116190840934069,0.23121729551088196,0.10135319668574733,0.27024221453287195
full,5,truck,medium,0.2858846020834196,0.4256873055608097,0.31670782424237864,0.453475935828877
full,5,truck,large,0.5444309715267692,0.7410988975104654,0.6517395979344739,0.7022988505747126
full,6,tricycle,all,0.16658532370019474,0.2869615003441754,0.16711896563663134,0.34124401913875596
full,6,tricycle,small,0.11994186134914668,0.23144246393991996,0.1072012115671042,0.2739130434782609
full,6,tricycle,medium,0.2310651445950992,0.3632135279505446,0.24444492576396742,0.4351941747572816
full,6,tricycle,large,0.4932409762715402,0.6423008760503379,0.6423008760503379,0.5999999999999999
full,7,awning-tricycle,all,0.08328255850452845,0.13109746886273638,0.0947433384600804,0.293609022556391
full,7,awning-tricycle,small,0.06410182264536239,0.11067798999056565,0.06542445862080291,0.22655737704918036
full,7,awning-tricycle,medium,0.1081650787461376,0.15681392047426326,0.13236325424738066,0.38198198198198197
full,7,awning-tricycle,large,0.24158415841584158,0.3663366336633663,0.20792079207920786,0.45999999999999996
full,8,bus,all,0.40408234896649065,0.5656370342776436,0.4972784930895452,0.494820717131474
full,8,bus,small,0.1650398371876806,0.2932466176991489,0.20607816686798808,0.26120689655172413
full,8,bus,medium,0.5240697448449861,0.7225896630441377,0.6536931984954688,0.6446601941747574
full,8,bus,large,0.8183079252946301,0.9494850347103675,0.9494850347103675,0.859375
full,9,motor,all,0.22011624947704903,0.4959263923213757,0.15340306684992236,0.39140401146131804
full,9,motor,small,0.19417934164813178,0.4628539503477987,0.11824396873770515,0.3611613876319758
full,9,motor,medium,0.3356582207592634,0.6481125124870544,0.3065176336789778,0.5237513873473918
full,9,motor,large,0.19054984344588308,0.42186151307438446,0.08690869086908691,0.5571428571428572
