variant,batch_index,source_index,objective,parameter_group,pair,cosine,left_norm,right_norm,left_targets,right_targets,left_loss,right_loss
full_control,4,21,localization,deep_backbone,small-medium,-0.05044511333107948,6.080145835876465,55.471595764160156,315,17,14.827455997467041,56.74444341659546
full_control,4,21,localization,deep_backbone,small-large,0.07696454972028732,6.080145835876465,171.3271026611328,315,1,14.827455997467041,604.4902620315552
full_control,4,21,localization,deep_backbone,medium-large,0.019777249544858932,55.471595764160156,171.3271026611328,17,1,56.74444341659546,604.4902620315552
full_control,4,21,localization,neck,small-medium,-0.16477270424365997,6.325469017028809,35.617835998535156,315,17,14.827455997467041,56.74444341659546
full_control,4,21,localization,neck,small-large,0.001719017280265689,6.325469017028809,178.1273956298828,315,1,14.827455997467041,604.4902620315552
full_control,4,21,localization,neck,medium-large,0.02592645213007927,35.617835998535156,178.1273956298828,17,1,56.74444341659546,604.4902620315552
full_control,4,21,total,shared_features,small-medium,0.7003650665283203,6.4858527183532715,462.8731384277344,315,17,14.827455997467041,56.74444341659546
full_control,4,21,total,shared_features,small-large,0.7127796411514282,6.4858527183532715,6342.43505859375,315,1,14.827455997467041,604.4902620315552
full_control,4,21,total,shared_features,medium-large,0.9985556602478027,462.8731384277344,6342.43505859375,17,1,56.74444341659546,604.4902620315552
full_control,4,21,total,shared_predictors,small-medium,0.5025390386581421,3.6414356231689453,226.34425354003906,315,17,14.827455997467041,56.74444341659546
full_control,4,21,total,shared_predictors,small-large,0.5030261278152466,3.6414356231689453,3089.3583984375,315,1,14.827455997467041,604.4902620315552
full_control,4,21,total,shared_predictors,medium-large,0.9986521601676941,226.34425354003906,3089.3583984375,17,1,56.74444341659546,604.4902620315552
full_control,4,21,total,deep_backbone,small-medium,0.5619781017303467,10.84597396850586,483.9072570800781,315,17,14.827455997467041,56.74444341659546
full_control,4,21,total,deep_backbone,small-large,0.5840296745300293,10.84597396850586,6598.59765625,315,1,14.827455997467041,604.4902620315552
full_control,4,21,total,deep_backbone,medium-large,0.9857686161994934,483.9072570800781,6598.59765625,17,1,56.74444341659546,604.4902620315552
full_control,4,21,total,neck,small-medium,0.5325015187263489,10.223186492919922,507.2071533203125,315,17,14.827455997467041,56.74444341659546
full_control,4,21,total,neck,small-large,0.5653267502784729,10.223186492919922,6964.03759765625,315,1,14.827455997467041,604.4902620315552
full_control,4,21,total,neck,medium-large,0.9941740036010742,507.2071533203125,6964.03759765625,17,1,56.74444341659546,604.4902620315552
full_control,5,22,localization,shared_features,small-medium,0.05238163098692894,4.7712602615356445,7.003781318664551,289,30,16.1480450630188,24.15738344192505
full_control,5,22,localization,shared_features,small-large,-0.021618254482746124,4.7712602615356445,32.21392059326172,289,1,16.1480450630188,684.3798110485077
full_control,5,22,localization,shared_features,medium-large,0.2835161089897156,7.003781318664551,32.21392059326172,30,1,24.15738344192505,684.3798110485077
full_control,5,22,localization,shared_predictors,small-medium,-0.036318711936473846,3.982672929763794,4.974505424499512,289,30,16.1480450630188,24.15738344192505
full_control,5,22,localization,shared_predictors,small-large,-0.06505681574344635,3.982672929763794,26.672500610351562,289,1,16.1480450630188,684.3798110485077
full_control,5,22,localization,shared_predictors,medium-large,0.336665540933609,4.974505424499512,26.672500610351562,30,1,24.15738344192505,684.3798110485077
full_control,5,22,localization,deep_backbone,small-medium,-0.25251492857933044,11.188456535339355,17.217060089111328,289,30,16.1480450630188,24.15738344192505
full_control,5,22,localization,deep_backbone,small-large,-0.08319850265979767,11.188456535339355,111.0991439819336,289,1,16.1480450630188,684.3798110485077
full_control,5,22,localization,deep_backbone,medium-large,0.07395616918802261,17.217060089111328,111.0991439819336,30,1,24.15738344192505,684.3798110485077
full_control,5,22,localization,neck,small-medium,-0.05807216465473175,9.114617347717285,16.073652267456055,289,30,16.1480450630188,24.15738344192505
full_control,5,22,localization,neck,small-large,-0.00933727715164423,9.114617347717285,122.16980743408203,289,1,16.1480450630188,684.3798110485077
full_control,5,22,localization,neck,medium-large,0.11839687079191208,16.073652267456055,122.16980743408203,30,1,24.15738344192505,684.3798110485077
full_control,5,22,total,shared_features,small-medium,-0.37211188673973083,6.9040117263793945,172.33056640625,289,30,16.1480450630188,24.15738344192505
full_control,5,22,total,shared_features,small-large,-0.2992267310619354,6.9040117263793945,6996.95556640625,289,1,16.1480450630188,684.3798110485077
full_control,5,22,total,shared_features,medium-large,0.9901996850967407,172.33056640625,6996.95556640625,30,1,24.15738344192505,684.3798110485077
full_control,5,22,total,shared_predictors,small-medium,-0.16413787007331848,4.9013824462890625,82.12528228759766,289,30,16.1480450630188,24.15738344192505
full_control,5,22,total,shared_predictors,small-large,-0.08952841907739639,4.9013824462890625,3274.1865234375,289,1,16.1480450630188,684.3798110485077
